City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
163,Mahebourg,MU,-20.4081,57.7,68.29,73,75,20.71,broken clouds
164,Glenwood Springs,US,39.5505,-107.3248,90.52,71,76,3.53,broken clouds
165,Mehamn,NO,71.0357,27.8492,57.15,82,100,4.61,overcast clouds
166,Lompoc,US,34.6391,-120.4579,80.01,57,0,14.97,clear sky
167,Leningradskiy,RU,69.3833,178.4167,34.48,93,100,20.07,light snow
168,Ballina,AU,-28.8667,153.5667,60.24,75,50,10.18,scattered clouds
169,Goderich,CA,43.7501,-81.7165,74.91,60,1,4.61,clear sky
170,Saskylakh,RU,71.9167,114.0833,42.67,84,100,14.14,overcast clouds
171,Kununurra,AU,-15.7667,128.7333,69.78,60,20,4.61,few clouds
172,Khandyga,RU,62.6667,135.6,76.41,49,100,11.72,overcast clouds
173,Spring Valley,US,36.108,-115.245,103.96,26,75,13.8,thunderstorm
174,Poum,NC,-20.2333,164.0167,75.58,84,69,7.81,broken clouds
175,Stornoway,GB,58.2093,-6.3865,58.03,92,75,1.14,broken clouds
176,Kenai,US,60.5544,-151.2583,68.02,71,40,21.85,scattered clouds
177,Sur,OM,22.5667,59.5289,84.07,89,33,7.96,scattered clouds
178,Shimoda,JP,34.6667,138.95,80.96,92,100,13.67,light rain
179,Flinders,AU,-34.5833,150.8552,53.19,68,61,11.99,light rain
180,Lupsanu,RO,44.3833,26.9,61.52,39,50,3.71,scattered clouds
181,Husavik,IS,66.0449,-17.3389,50.34,82,80,2.39,broken clouds
182,Antofagasta,CL,-23.65,-70.4,56.48,76,23,4.99,few clouds
183,Tessalit,ML,20.1986,1.0114,86.63,44,49,13.85,scattered clouds
184,Tuktoyaktuk,CA,69.4541,-133.0374,66.2,82,100,10.36,overcast clouds
185,Kudahuvadhoo,MV,2.6708,72.8944,81.61,77,88,16.22,overcast clouds
186,Manzhouli,CN,49.6,117.4333,73.62,46,90,4.81,overcast clouds
187,Burnie,AU,-41.0667,145.9167,42.94,60,3,4.14,clear sky
188,Faanui,PF,-16.4833,-151.75,76.6,68,55,5.93,broken clouds
189,Teya,RU,60.3778,92.6267,54.93,98,100,0.65,overcast clouds
190,Koygorodok,RU,60.445,50.9968,61.14,97,85,8.1,light rain
191,Nouadhibou,MR,20.931,-17.0347,71.58,83,30,8.05,scattered clouds
192,Mundo Nuevo,MX,18.7,-95.5,84.29,72,19,8.48,few clouds
193,Bafq,IR,31.6128,55.4107,83.3,12,0,6.69,clear sky
194,Sao Joao Da Barra,BR,-21.6403,-41.0511,70.9,86,2,8.95,clear sky
195,Cape Canaveral,US,28.4058,-80.6048,84.07,81,0,0.0,clear sky
196,Broken Hill,AU,-31.95,141.4333,46.0,58,6,9.8,clear sky
197,Paracuru,BR,-3.41,-39.0306,78.12,78,3,10.31,clear sky
198,Thompson,CA,55.7435,-97.8558,75.36,53,40,5.75,scattered clouds
