City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
594,Zhetysay,KZ,73.51,clear sky,40.7333,68.3,Gostinitsa Den
595,Jacqueville,CI,76.77,broken clouds,5.2052,-4.4146,Hotel Le Martin Pecheur
596,Tres Lagoas,BR,76.06,broken clouds,-20.7511,-51.6783,Druds Express Hotel
597,Alyangula,AU,75.09,broken clouds,-13.8483,136.4192,Groote Eylandt Lodge
598,The Valley,AI,82.54,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
600,Rayong,TH,84.79,heavy intensity rain,12.8333,101.4333,Suan Palm Garden View Hotel
601,Wana,PK,77.2,clear sky,32.2989,69.5725,Rest House at Wana Camp
606,Gunjur,GM,80.67,clear sky,13.2019,-16.7339,Jallo Kurundingoto Eco Tourist Camp
608,Rudraprayag,IN,77.67,broken clouds,30.2833,78.9833,HOTEL PUSHPDEEP GRAND
610,Skegness,GB,79.05,scattered clouds,53.1436,0.3363,The Royal Hotel
613,Vanimo,PG,78.46,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
614,Barsi,IN,71.58,overcast clouds,18.2333,75.7,B.K.T. COMMUNICATION AND FASHION
618,Liverpool,GB,80.62,clear sky,53.4106,-2.9779,Premier Inn Liverpool City Centre (Moorfields) hotel
619,Liberta,AG,79.34,broken clouds,17.0333,-61.7833,The Inn At English Harbour
621,Sidi Ali,DZ,75.29,clear sky,36.0998,0.4206,Complexe touristique haje bezine
622,Caraballeda,VE,84.27,scattered clouds,10.6112,-66.8522,Ole Caribe
623,Hambantota,LK,78.17,broken clouds,6.1241,81.1185,Bungalow 63
624,Touros,BR,75.69,light rain,-5.1989,-35.4608,INN NEW HORIZON
626,Catarman,PH,81.16,broken clouds,12.4989,124.6377,Pink City Pension Hotel
627,Bandarbeyla,SO,75.83,overcast clouds,9.4942,50.8122,JABIR HOTEL
631,Knoxville,US,76.01,broken clouds,35.9606,-83.9207,Hilton Knoxville
635,Porto Walter,BR,71.94,broken clouds,-8.2686,-72.7439,Hotel Silva
636,Humaita,BR,79.29,clear sky,-7.5061,-63.0208,Corrêa Hotel
638,Galle,LK,79.38,broken clouds,6.0367,80.217,Amangalla
