City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
58,South Lake Tahoe,US,2022-07-14 06:20:24,38.9332,-119.9844,62.26,49,0,3.44
59,Ko Samui,TH,2022-07-14 06:20:24,9.5357,99.9357,87.71,66,20,6.91
60,Coquimbo,CL,2022-07-14 06:20:25,-29.9533,-71.3436,53.33,100,100,2.3
61,Yellowknife,CA,2022-07-14 06:15:47,62.456,-114.3525,57.72,88,75,8.05
62,College,US,2022-07-14 06:18:13,64.8569,-147.8028,65.21,65,75,6.91
63,Agua Verde,MX,2022-07-14 06:20:26,22.9,-106.05,82.49,83,93,5.7
64,Saint-Philippe,RE,2022-07-14 06:20:26,-21.3585,55.7679,74.21,80,52,12.62
65,Nome,US,2022-07-14 06:20:26,64.5011,-165.4064,63.16,71,0,9.22
66,Mataura,NZ,2022-07-14 06:20:26,-46.1927,168.8643,40.48,98,47,2.01
67,Ribeira Grande,PT,2022-07-14 06:20:27,38.5167,-28.7,68.4,83,20,2.3
68,Atuona,PF,2022-07-14 06:20:27,-9.8,-139.0333,77.94,72,15,19.33
69,West Bay,KY,2022-07-14 06:19:28,19.3667,-81.4167,82.99,87,12,1.01
70,Nanortalik,GL,2022-07-14 06:20:27,60.1432,-45.2371,47.32,74,100,11.3
71,Lata,PT,2022-07-14 06:20:28,40.1629,-8.3327,77.07,29,43,4.16
72,Gurh,IN,2022-07-14 06:20:28,24.5167,81.5167,97.68,38,9,19.91
73,Longyearbyen,SJ,2022-07-14 06:20:28,78.2186,15.6401,51.64,82,40,5.75
74,Thompson,CA,2022-07-14 06:20:29,55.7435,-97.8558,68.16,64,20,5.75
75,Busselton,AU,2022-07-14 06:20:29,-33.65,115.3333,63.28,71,52,23.8
76,Arraial Do Cabo,BR,2022-07-14 06:20:29,-22.9661,-42.0278,70.32,89,51,13.82
77,Sabang,ID,2022-07-14 06:20:30,5.8933,95.3214,82.63,79,85,16.73
78,Malazgirt,TR,2022-07-14 06:20:30,39.1427,42.5401,76.32,36,0,5.17
79,Lafia,NG,2022-07-14 06:20:30,8.4833,8.5167,73.51,97,100,4.9
80,Butaritari,KI,2022-07-14 06:20:31,3.0707,172.7902,81.52,81,22,17.25
81,Itoman,JP,2022-07-14 06:18:17,26.1247,127.6694,89.62,79,40,8.05
82,Ambon,ID,2022-07-14 06:20:31,-3.6954,128.1814,77.14,94,75,4.61
83,Neuquen,AR,2022-07-14 06:20:31,-38.9516,-68.0591,39.09,81,0,8.95
84,Hay River,CA,2022-07-14 06:20:32,60.8156,-115.7999,58.98,63,79,9.22
85,Haines Junction,CA,2022-07-14 06:20:32,60.7522,-137.5108,53.55,66,45,5.75
86,Nantucket,US,2022-07-14 06:16:45,41.2835,-70.0995,71.71,100,0,4.61
87,Hithadhoo,MV,2022-07-14 06:20:32,-0.6,73.0833,83.48,73,30,12.21
88,Namatanai,PG,2022-07-14 06:20:33,-3.6667,152.4333,81.32,80,100,5.93
89,Saskylakh,RU,2022-07-14 06:20:33,71.9167,114.0833,49.77,59,100,10.49
90,Shimoda,JP,2022-07-14 06:20:33,34.6667,138.95,80.1,87,100,9.37
91,Katsuura,JP,2022-07-14 06:20:33,35.1333,140.3,76.95,88,100,8.93
92,New Norfolk,AU,2022-07-14 06:20:34,-42.7826,147.0587,51.71,83,100,2.75
